dy;wbc;miny;minx;im;maxx;maxy;r;dx;;;;
81;ly;397;619;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\13.bmp;700;478;27.0;81;;;;
1;reactive ly;1023;484;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\13.bmp;521;1024;27.0;37;;;;
72;ly;581;84;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\13.bmp;179;653;27.0;95;;;;
97;ly;132;1030;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\14.bmp;1139;229;19.0;109;;;;
89;rly;317;467;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\14.bmp;570;406;19.0;103;;;;
117;ne;376;435;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\14.bmp;560;493;19.0;125;;;;
124;mo;382;971;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\14.bmp;1111;506;19.0;140;;;;
88;ly;581;524;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\15.bmp;611;669;27.0;87;;;;
128;mo;586;596;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\16.bmp;761;714;19.0;165;;;;
79;un;552;368;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\16.bmp;446;631;19.0;78;;;;
128;ly;586;596;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\17.bmp;761;714;27.0;165;;;;
137;ne;701;1012;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\17.bmp;1155;838;27.0;143;;;;
104;mo;342;664;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\17.bmp;762;446;27.0;98;;;;
139;ne;696;1012;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\17.bmp;1162;835;27.0;150;;;;
166;mo;150;99;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\18.bmp;262;316;27.0;163;;;;
142;ne;820;168;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\18.bmp;286;962;27.0;118;;;;
146;ne;813;150;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\18.bmp;287;959;27.0;137;;;;
140;ne;824;169;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\18.bmp;286;964;27.0;117;;;;
135;bne;822;168;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\18.bmp;285;957;27.0;117;;;;
105;rly;302;206;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\19.bmp;308;407;19.0;102;;;;
100;ly;730;825;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\19.bmp;916;830;19.0;91;;;;
78;ly;63;876;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\19.bmp;956;141;19.0;80;;;;
118;ne;139;434;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\2.bmp;551;257;19.0;117;;;;
119;eo;672;839;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\2.bmp;943;791;19.0;104;;;;
92;ly;318;427;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\20.bmp;519;410;27.0;92;;;;
0;wrong;301;789;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\21.bmp;789;301;27.0;0;;;;
88;ly;281;763;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\21.bmp;851;369;27.0;88;;;;
86;rly;795;466;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\21.bmp;549;881;27.0;83;;;;
94;rly;494;906;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\22.bmp;993;588;19.0;87;;;;
0;wrong;193;858;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\23.bmp;858;193;27.0;0;;;;
92;ly;178;843;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\23.bmp;937;270;27.0;94;;;;
90;my;873;576;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\24.bmp;668;963;19.0;92;;;;
81;ly;680;827;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\25.bmp;909;761;19.0;82;;;;
89;rly;678;982;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\26.bmp;1073;767;25.0;91;;;;
95;ly;598;902;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\27.bmp;983;693;27.0;81;;;;
73;ly;658;988;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\28.bmp;1072;731;19.0;84;;;;
147;mo;384;843;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\29.bmp;983;531;27.0;140;;;;
148;ne;858;847;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\29.bmp;971;1006;27.0;124;;;;
126;ne;171;835;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\3.bmp;953;297;19.0;118;;;;
118;mo;602;1023;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\3.bmp;1128;720;19.0;105;;;;
172;ne;546;440;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\30.bmp;598;718;25.0;158;;;;
84;ly;911;906;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\30.bmp;996;995;25.0;90;;;;
105;rly;460;179;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\31.bmp;305;565;25.0;126;;;;
110;rly;478;858;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\32.bmp;952;588;19.0;94;;;;
172;ne;498;741;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\32.bmp;886;670;19.0;145;;;;
4;ly;434;837;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\33.bmp;844;438;27.0;7;;;;
72;ly;205;605;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\33.bmp;733;277;27.0;128;;;;
96;ly;27;565;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\33.bmp;643;123;27.0;78;;;;
107;rly;190;158;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\34.bmp;253;297;25.0;95;;;;
2;atyp ly;686;988;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\34.bmp;989;688;25.0;1;;;;
98;rly;234;655;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\34.bmp;748;332;25.0;93;;;;
116;rly;715;107;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\34.bmp;199;831;25.0;92;;;;
75;ly;303;463;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\35.bmp;543;378;27.0;80;;;;
107;ly;240;485;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\36.bmp;576;347;27.0;91;;;;
85;ly;554;465;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\37.bmp;560;639;27.0;95;;;;
84;ly;298;898;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\38.bmp;982;382;27.0;84;;;;
119;ne;382;120;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\38.bmp;250;501;27.0;130;;;;
89;rly;769;586;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\39.bmp;675;858;25.0;89;;;;
96;wrong;65;467;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\4.bmp;556;161;19.0;89;;;;
71;ly;367;230;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\4.bmp;306;438;19.0;76;;;;
93;rly;812;873;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\4.bmp;944;905;19.0;71;;;;
133;eo;260;217;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\40.bmp;334;393;27.0;117;;;;
95;ly;545;1055;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\5.bmp;1138;640;19.0;83;;;;
117;ly;650;165;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\6.bmp;255;767;19.0;90;;;;
122;ne;870;243;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\6.bmp;364;992;19.0;121;;;;
84;ly;217;703;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\61.bmp;787;301;19.0;84;;;;
92;rly;247;518;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\61.bmp;617;339;19.0;99;;;;
160;bne;268;412;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\61.bmp;545;428;19.0;133;;;;
146;wrong;85;824;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\62.bmp;1207;231;27.0;383;;;;
66;ne;128;1014;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\62.bmp;1097;194;27.0;83;;;;
135;bne;34;1094;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\62.bmp;1203;169;27.0;109;;;;
83;hary ly;706;101;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\62.bmp;208;789;27.0;107;;;;
111;ly hajas;667;63;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\62.bmp;187;778;27.0;124;;;;
101;hajas ly;711;106;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\62.bmp;210;812;27.0;104;;;;
107;hairy cell ly;673;70;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\62.bmp;179;780;27.0;109;;;;
101;hairy cell ly;680;67;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\62.bmp;176;781;27.0;109;;;;
101;hairy cell ly;678;73;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\62.bmp;175;779;27.0;102;;;;
110;hairy cell ly;673;69;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\62.bmp;179;783;27.0;110;;;;
77;ly;620;173;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\63.bmp;359;697;25.0;186;;;;
109;ly;581;189;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\63.bmp;296;690;25.0;107;;;;
146;eo;571;858;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\64.bmp;1000;717;19.0;142;;;;
121;ne;579;251;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\65.bmp;379;700;19.0;128;;;;
111;ne;474;416;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\65.bmp;539;585;19.0;123;;;;
126;ne;456;608;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\65.bmp;728;582;19.0;120;;;;
121;bne;737;1034;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\65.bmp;1170;858;19.0;136;;;;
158;mo;670;312;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\66.bmp;466;828;19.0;154;;;;
143;bne;384;902;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\66.bmp;1038;527;19.0;136;;;;
88;ly;128;633;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\67.bmp;724;216;25.0;91;;;;
141;ne;277;113;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\67.bmp;236;418;25.0;123;;;;
90;rly;236;695;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\68.bmp;821;326;25.0;126;;;;
40;th;302;781;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\68.bmp;817;342;25.0;36;;;;
108;mo;786;904;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\69.bmp;1021;894;19.0;117;;;;
83;ly;355;707;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\7.bmp;790;438;27.0;83;;;;
146;mo;338;864;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\70.bmp;1020;484;19.0;156;;;;
137;mo;317;240;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\71.bmp;407;454;19.0;167;;;;
87;ly;565;888;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\72.bmp;981;652;19.0;93;;;;
127;eo;600;646;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\73.bmp;753;727;19.0;107;;;;
105;mo;417;350;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\74.bmp;454;522;25.0;104;;;;
133;eo;506;562;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\75.bmp;677;639;25.0;115;;;;
126;mo;456;47;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\76.bmp;187;582;27.0;140;;;;
99;ly;591;783;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\77.bmp;870;690;19.0;87;;;;
111;ne;612;229;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\77.bmp;349;723;19.0;120;;;;
107;mo;487;545;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\78.bmp;679;594;19.0;134;;;;
66;ly;276;667;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\79.bmp;733;342;25.0;66;;;;
87;ly;347;703;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\8.bmp;783;434;19.0;80;;;;
125;eo;656;723;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\8.bmp;838;781;19.0;115;;;;
131;rly;891;358;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\8.bmp;459;1022;19.0;101;;;;
84;ly;520;29;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\8.bmp;112;604;19.0;83;;;;
2;ly;612;743;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\80.bmp;915;614;27.0;172;;;;
75;ly;535;761;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\80.bmp;840;610;27.0;79;;;;
142;mo;771;861;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\81.bmp;1011;913;25.0;150;;;;
78;ly;342;414;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\82.bmp;489;420;25.0;75;;;;
85;ly;450;554;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\83.bmp;622;535;25.0;68;;;;
79;ly;282;616;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\84.bmp;702;361;25.0;86;;;;
119;rly;226;704;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\85.bmp;804;345;25.0;100;;;;
143;reactive ly;607;804;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\86.bmp;924;750;25.0;120;;;;
136;rly;610;799;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\86.bmp;924;746;25.0;125;;;;
123;bne;297;220;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\9.bmp;332;420;19.0;112;;;;
92;ly;427;681;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\9.bmp;751;519;19.0;70;;;;
127;bne;457;702;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\9.bmp;828;584;19.0;126;;;;
348;wrong;88;43;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\1.bmp;180;436;19.0;137;;;;
85;ly;419;701;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\1.bmp;779;504;19.0;78;;;;
131;ne;564;610;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\1.bmp;732;695;19.0;122;;;;
127;bne;244;14;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\1.bmp;140;371;19.0;126;;;;
94;rly;436;307;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\10.bmp;391;530;19.0;84;;;;
128;bne;453;434;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\10.bmp;547;581;19.0;113;;;;
101;rly;196;1021;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\10.bmp;1122;297;19.0;101;;;;
122;eo;426;1069;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\10.bmp;1210;548;19.0;141;;;;
138;bne;869;825;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\10.bmp;950;1007;19.0;125;;;;
119;bne;865;1172;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\10.bmp;1279;984;19.0;107;;;;
117;mo;435;718;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\11.bmp;845;552;19.0;127;;;;
123;ne;143;87;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\12.bmp;222;266;19.0;135;;;;
148;bne;746;214;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\12.bmp;343;894;19.0;129;;;;
123;ly;695;712;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\12.bmp;818;818;19.0;106;;;;
4;ne;305;49;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\12.bmp;81;309;19.0;32;;;;
81;ly;397;619;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\13.bmp;700;478;27.0;81;;;;
1;reactive ly;1023;484;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\13.bmp;521;1024;27.0;37;;;;
72;ly;581;84;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\13.bmp;179;653;27.0;95;;;;
97;ly;132;1030;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\14.bmp;1139;229;19.0;109;;;;
89;rly;317;467;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\14.bmp;570;406;19.0;103;;;;
117;ne;376;435;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\14.bmp;560;493;19.0;125;;;;
124;mo;382;971;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\14.bmp;1111;506;19.0;140;;;;
88;ly;581;524;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\15.bmp;611;669;27.0;87;;;;
128;mo;586;596;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\16.bmp;761;714;19.0;165;;;;
79;un;552;368;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\16.bmp;446;631;19.0;78;;;;
128;ly;586;596;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\17.bmp;761;714;27.0;165;;;;
137;ne;701;1012;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\17.bmp;1155;838;27.0;143;;;;
104;mo;342;664;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\17.bmp;762;446;27.0;98;;;;
139;ne;696;1012;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\17.bmp;1162;835;27.0;150;;;;
166;mo;150;99;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\18.bmp;262;316;27.0;163;;;;
142;ne;820;168;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\18.bmp;286;962;27.0;118;;;;
146;ne;813;150;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\18.bmp;287;959;27.0;137;;;;
140;ne;824;169;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\18.bmp;286;964;27.0;117;;;;
135;bne;822;168;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\18.bmp;285;957;27.0;117;;;;
105;rly;302;206;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\19.bmp;308;407;19.0;102;;;;
100;ly;730;825;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\19.bmp;916;830;19.0;91;;;;
78;ly;63;876;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\19.bmp;956;141;19.0;80;;;;
118;ne;139;434;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\2.bmp;551;257;19.0;117;;;;
119;eo;672;839;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\2.bmp;943;791;19.0;104;;;;
92;ly;318;427;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\20.bmp;519;410;27.0;92;;;;
0;wrong;301;789;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\21.bmp;789;301;27.0;0;;;;
88;ly;281;763;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\21.bmp;851;369;27.0;88;;;;
86;rly;795;466;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\21.bmp;549;881;27.0;83;;;;
94;rly;494;906;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\22.bmp;993;588;19.0;87;;;;
0;wrong;193;858;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\23.bmp;858;193;27.0;0;;;;
92;ly;178;843;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\23.bmp;937;270;27.0;94;;;;
90;my;873;576;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\24.bmp;668;963;19.0;92;;;;
81;ly;680;827;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\25.bmp;909;761;19.0;82;;;;
89;rly;678;982;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\26.bmp;1073;767;25.0;91;;;;
95;ly;598;902;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\27.bmp;983;693;27.0;81;;;;
73;ly;658;988;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\28.bmp;1072;731;19.0;84;;;;
147;mo;384;843;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\29.bmp;983;531;27.0;140;;;;
148;ne;858;847;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\29.bmp;971;1006;27.0;124;;;;
126;ne;171;835;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\3.bmp;953;297;19.0;118;;;;
118;mo;602;1023;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\3.bmp;1128;720;19.0;105;;;;
172;ne;546;440;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\30.bmp;598;718;25.0;158;;;;
84;ly;911;906;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\30.bmp;996;995;25.0;90;;;;
105;rly;460;179;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\31.bmp;305;565;25.0;126;;;;
110;rly;478;858;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\32.bmp;952;588;19.0;94;;;;
172;ne;498;741;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\32.bmp;886;670;19.0;145;;;;
4;ly;434;837;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\33.bmp;844;438;27.0;7;;;;
72;ly;205;605;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\33.bmp;733;277;27.0;128;;;;
96;ly;27;565;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\33.bmp;643;123;27.0;78;;;;
107;rly;190;158;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\34.bmp;253;297;25.0;95;;;;
2;atyp ly;686;988;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\34.bmp;989;688;25.0;1;;;;
98;rly;234;655;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\34.bmp;748;332;25.0;93;;;;
116;rly;715;107;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\34.bmp;199;831;25.0;92;;;;
75;ly;303;463;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\35.bmp;543;378;27.0;80;;;;
107;ly;240;485;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\36.bmp;576;347;27.0;91;;;;
85;ly;554;465;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\37.bmp;560;639;27.0;95;;;;
84;ly;298;898;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\38.bmp;982;382;27.0;84;;;;
119;ne;382;120;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\38.bmp;250;501;27.0;130;;;;
89;rly;769;586;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\39.bmp;675;858;25.0;89;;;;
96;wrong;65;467;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\4.bmp;556;161;19.0;89;;;;
71;ly;367;230;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\4.bmp;306;438;19.0;76;;;;
93;rly;812;873;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\4.bmp;944;905;19.0;71;;;;
133;eo;260;217;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\40.bmp;334;393;27.0;117;;;;
